method	calls	methodnum	jittered_methodnum
autom	304807	1	1
degree	304600	2	2
almost_random	304973	3	3
r	1048440	4	4
autom	304718	1	1
degree	304600	2	2
almost_random	305051	3	3
r	357654	4	4
autom	304600	1	1
degree	304600	2	2
almost_random	304897	3	3
r	369103	4	4
autom	304826	1	1
degree	304746	2	2
almost_random	304213	3	3
r	664026	4	4
autom	304721	1	1
degree	304885	2	2
almost_random	304460	3	3
r	333098	4	4
autom	304718	1	1
degree	304885	2	2
almost_random	304213	3	3
r	896333	4	4
autom	304934	1	1
degree	304746	2	2
almost_random	304504	3	3
r	674627	4	4
autom	304600	1	1
degree	304746	2	2
almost_random	304393	3	3
r	1045225	4	4
autom	304721	1	1
degree	304600	2	2
almost_random	304213	3	3
r	810242	4	4
autom	304718	1	1
degree	304600	2	2
almost_random	304375	3	3
r	894964	4	4
autom	304600	1	1
degree	304600	2	2
almost_random	304854	3	3
r	651932	4	4
autom	304721	1	1
degree	304746	2	2
almost_random	304934	3	3
r	451000	4	4
autom	304871	1	1
degree	304600	2	2
almost_random	304438	3	3
r	711868	4	4
autom	304718	1	1
degree	304600	2	2
almost_random	304213	3	3
r	669040	4	4
autom	304718	1	1
degree	304600	2	2
almost_random	304487	3	3
r	515772	4	4
autom	304600	1	1
degree	304885	2	2
almost_random	304857	3	3
r	841202	4	4
autom	304600	1	1
degree	304600	2	2
almost_random	304213	3	3
r	631888	4	4
autom	304718	1	1
degree	304746	2	2
almost_random	304485	3	3
r	714486	4	4
autom	304880	1	1
degree	304746	2	2
almost_random	304213	3	3
r	571610	4	4
autom	304940	1	1
degree	304885	2	2
almost_random	304460	3	3
r	976389	4	4
