run_num	method	calls	methodnum	jittered_methodnum
1	autom	304823	1	1
1	degree	304746	2	2
1	almost_random	304884	3	3
1	r	651754	4	4
2	autom	304600	1	1
2	degree	304885	2	2
2	almost_random	304487	3	3
2	r	855199	4	4
3	autom	304721	1	1
3	degree	304600	2	2
3	almost_random	304927	3	3
3	r	893413	4	4
4	autom	304826	1	1
4	degree	304600	2	2
4	almost_random	304213	3	3
4	r	945402	4	4
5	autom	304871	1	1
5	degree	304885	2	2
5	almost_random	304519	3	3
5	r	1071903	4	4
6	autom	304600	1	1
6	degree	304885	2	2
6	almost_random	304447	3	3
6	r	345756	4	4
7	autom	304877	1	1
7	degree	304600	2	2
7	almost_random	304213	3	3
7	r	1038516	4	4
8	autom	304718	1	1
8	degree	304600	2	2
8	almost_random	304213	3	3
8	r	1378916	4	4
9	autom	304718	1	1
9	degree	304600	2	2
9	almost_random	304438	3	3
9	r	960967	4	4
10	autom	304721	1	1
10	degree	304600	2	2
10	almost_random	304213	3	3
10	r	611797	4	4
11	autom	304810	1	1
11	degree	304600	2	2
11	almost_random	304213	3	3
11	r	951415	4	4
12	autom	304880	1	1
12	degree	304746	2	2
12	almost_random	304645	3	3
12	r	1772728	4	4
13	autom	304896	1	1
13	degree	304600	2	2
13	almost_random	304213	3	3
13	r	775826	4	4
14	autom	304877	1	1
14	degree	304600	2	2
14	almost_random	304841	3	3
14	r	440669	4	4
15	autom	304600	1	1
15	degree	304600	2	2
15	almost_random	304213	3	3
15	r	569658	4	4
16	autom	304807	1	1
16	degree	304600	2	2
16	almost_random	304375	3	3
16	r	344104	4	4
17	autom	304718	1	1
17	degree	304746	2	2
17	almost_random	304681	3	3
17	r	730355	4	4
18	autom	304807	1	1
18	degree	304885	2	2
18	almost_random	304891	3	3
18	r	327037	4	4
19	autom	304810	1	1
19	degree	304600	2	2
19	almost_random	304656	3	3
19	r	367013	4	4
20	autom	304718	1	1
20	degree	304600	2	2
20	almost_random	304213	3	3
20	r	780224	4	4
21	autom	304718	1	1
21	degree	304885	2	2
21	almost_random	304213	3	3
21	r	1091765	4	4
22	autom	304721	1	1
22	degree	304746	2	2
22	almost_random	304213	3	3
22	r	815553	4	4
23	autom	304600	1	1
23	degree	304885	2	2
23	almost_random	304460	3	3
23	r	971336	4	4
24	autom	304600	1	1
24	degree	304746	2	2
24	almost_random	304213	3	3
24	r	863449	4	4
25	autom	304600	1	1
25	degree	304600	2	2
25	almost_random	304447	3	3
25	r	567727	4	4
26	autom	304718	1	1
26	degree	304746	2	2
26	almost_random	304213	3	3
26	r	754643	4	4
27	autom	304721	1	1
27	degree	304600	2	2
27	almost_random	304897	3	3
27	r	589444	4	4
28	autom	304721	1	1
28	degree	304600	2	2
28	almost_random	304213	3	3
28	r	790131	4	4
29	autom	304807	1	1
29	degree	304746	2	2
29	almost_random	304621	3	3
29	r	986656	4	4
30	autom	304600	1	1
30	degree	304746	2	2
30	almost_random	304213	3	3
30	r	760005	4	4
31	autom	304893	1	1
31	degree	304746	2	2
31	almost_random	304696	3	3
31	r	892927	4	4
32	autom	304718	1	1
32	degree	304600	2	2
32	almost_random	304213	3	3
32	r	440855	4	4
33	autom	304934	1	1
33	degree	304885	2	2
33	almost_random	304213	3	3
33	r	932123	4	4
34	autom	304600	1	1
34	degree	304746	2	2
34	almost_random	304375	3	3
34	r	1083289	4	4
35	autom	304600	1	1
35	degree	304885	2	2
35	almost_random	304504	3	3
35	r	845168	4	4
36	autom	304826	1	1
36	degree	304600	2	2
36	almost_random	304213	3	3
36	r	1040189	4	4
37	autom	304718	1	1
37	degree	304746	2	2
37	almost_random	304213	3	3
37	r	1227063	4	4
38	autom	304721	1	1
38	degree	304600	2	2
38	almost_random	304213	3	3
38	r	619093	4	4
39	autom	304600	1	1
39	degree	304885	2	2
39	almost_random	304504	3	3
39	r	671668	4	4
40	autom	304718	1	1
40	degree	304600	2	2
40	almost_random	304213	3	3
40	r	817953	4	4
41	autom	304810	1	1
41	degree	304746	2	2
41	almost_random	304393	3	3
41	r	1135095	4	4
42	autom	304600	1	1
42	degree	304600	2	2
42	almost_random	304213	3	3
42	r	917273	4	4
43	autom	304877	1	1
43	degree	304600	2	2
43	almost_random	304213	3	3
43	r	688613	4	4
44	autom	304600	1	1
44	degree	304746	2	2
44	almost_random	304213	3	3
44	r	495467	4	4
45	autom	304718	1	1
45	degree	304600	2	2
45	almost_random	304487	3	3
45	r	1401434	4	4
46	autom	304880	1	1
46	degree	304600	2	2
46	almost_random	304213	3	3
46	r	1088561	4	4
47	autom	304721	1	1
47	degree	304885	2	2
47	almost_random	304213	3	3
47	r	829832	4	4
48	autom	304899	1	1
48	degree	304746	2	2
48	almost_random	304213	3	3
48	r	552680	4	4
49	autom	304718	1	1
49	degree	304746	2	2
49	almost_random	304213	3	3
49	r	900534	4	4
50	autom	304928	1	1
50	degree	304600	2	2
50	almost_random	304438	3	3
50	r	758500	4	4
