run_num	method	calls	methodnum	jittered_methodnum
1	autom	349488	1	1
1	degree	333592	2	2
1	almost_random	355275	3	3
1	r	575365	4	4
2	autom	304600	1	1
2	degree	304775	2	2
2	almost_random	304485	3	3
2	r	370007	4	4
3	autom	418221	1	1
3	degree	517495	2	2
3	almost_random	990597	3	3
3	r	990597	4	4
4	autom	512821	1	1
4	degree	550301	2	2
4	almost_random	851841	3	3
4	r	851841	4	4
5	autom	305055	1	1
5	degree	305191	2	2
5	almost_random	304718	3	3
5	r	525161	4	4
6	autom	337527	1	1
6	degree	345956	2	2
6	almost_random	314879	3	3
6	r	637081	4	4
7	autom	312266	1	1
7	degree	309374	2	2
7	almost_random	350510	3	3
7	r	918544	4	4
8	autom	488141	1	1
8	degree	498418	2	2
8	almost_random	1038358	3	3
8	r	1038358	4	4
9	autom	336861	1	1
9	degree	358608	2	2
9	almost_random	360712	3	3
9	r	480320	4	4
10	autom	426652	1	1
10	degree	672783	2	2
10	almost_random	978614	3	3
10	r	978614	4	4
11	autom	331229	1	1
11	degree	313942	2	2
11	almost_random	324164	3	3
11	r	324164	4	4
12	autom	447230	1	1
12	degree	626706	2	2
12	almost_random	832087	3	3
12	r	832087	4	4
13	autom	322844	1	1
13	degree	313935	2	2
13	almost_random	352335	3	3
13	r	1145481	4	4
14	autom	304896	1	1
14	degree	304600	2	2
14	almost_random	304393	3	3
14	r	751864	4	4
15	autom	334189	1	1
15	degree	343367	2	2
15	almost_random	347984	3	3
15	r	597497	4	4
16	autom	311289	1	1
16	degree	313365	2	2
16	almost_random	314888	3	3
16	r	449799	4	4
17	autom	417631	1	1
17	degree	480511	2	2
17	almost_random	524527	3	3
17	r	524527	4	4
18	autom	304447	1	1
18	degree	304866	2	2
18	almost_random	304447	3	3
18	r	590968	4	4
19	autom	304447	1	1
19	degree	304746	2	2
19	almost_random	304504	3	3
19	r	483166	4	4
20	autom	328893	1	1
20	degree	333619	2	2
20	almost_random	362225	3	3
20	r	718074	4	4
21	autom	311409	1	1
21	degree	318270	2	2
21	almost_random	313510	3	3
21	r	547039	4	4
22	autom	312141	1	1
22	degree	316539	2	2
22	almost_random	334981	3	3
22	r	658347	4	4
23	autom	507317	1	1
23	degree	606673	2	2
23	almost_random	1087649	3	3
23	r	1087649	4	4
24	autom	468064	1	1
24	degree	463753	2	2
24	almost_random	652525	3	3
24	r	652525	4	4
25	autom	420673	1	1
25	degree	498660	2	2
25	almost_random	898893	3	3
25	r	898893	4	4
26	autom	304438	1	1
26	degree	304213	2	2
26	almost_random	305067	3	3
26	r	782581	4	4
27	autom	304447	1	1
27	degree	304447	2	2
27	almost_random	304213	3	3
27	r	562343	4	4
28	autom	309889	1	1
28	degree	336439	2	2
28	almost_random	378791	3	3
28	r	1281022	4	4
29	autom	352547	1	1
29	degree	373432	2	2
29	almost_random	406706	3	3
29	r	791128	4	4
30	autom	334240	1	1
30	degree	376896	2	2
30	almost_random	383869	3	3
30	r	958164	4	4
31	autom	346544	1	1
31	degree	346574	2	2
31	almost_random	334486	3	3
31	r	877411	4	4
32	autom	336307	1	1
32	degree	343852	2	2
32	almost_random	336332	3	3
32	r	827651	4	4
33	autom	313882	1	1
33	degree	388386	2	2
33	almost_random	358586	3	3
33	r	495305	4	4
34	autom	475232	1	1
34	degree	542786	2	2
34	almost_random	1206547	3	3
34	r	1206547	4	4
35	autom	322681	1	1
35	degree	320607	2	2
35	almost_random	340133	3	3
35	r	1151132	4	4
36	autom	313989	1	1
36	degree	374967	2	2
36	almost_random	346985	3	3
36	r	346985	4	4
37	autom	304644	1	1
37	degree	304662	2	2
37	almost_random	304438	3	3
37	r	485042	4	4
38	autom	340117	1	1
38	degree	311630	2	2
38	almost_random	331223	3	3
38	r	622637	4	4
39	autom	312142	1	1
39	degree	321249	2	2
39	almost_random	368177	3	3
39	r	722152	4	4
40	autom	442395	1	1
40	degree	512888	2	2
40	almost_random	560712	3	3
40	r	560712	4	4
41	autom	312591	1	1
41	degree	341595	2	2
41	almost_random	320337	3	3
41	r	776489	4	4
42	autom	763158	1	1
42	degree	907623	2	2
42	almost_random	1442941	3	3
42	r	1442941	4	4
43	autom	330489	1	1
43	degree	333445	2	2
43	almost_random	339141	3	3
43	r	809713	4	4
44	autom	311131	1	1
44	degree	310738	2	2
44	almost_random	334235	3	3
44	r	708296	4	4
45	autom	331018	1	1
45	degree	319324	2	2
45	almost_random	355410	3	3
45	r	630547	4	4
46	autom	475937	1	1
46	degree	556383	2	2
46	almost_random	868203	3	3
46	r	868203	4	4
47	autom	469930	1	1
47	degree	596355	2	2
47	almost_random	860927	3	3
47	r	860927	4	4
48	autom	304730	1	1
48	degree	304746	2	2
48	almost_random	304731	3	3
48	r	879173	4	4
49	autom	320547	1	1
49	degree	363863	2	2
49	almost_random	387745	3	3
49	r	387745	4	4
50	autom	359281	1	1
50	degree	391862	2	2
50	almost_random	411908	3	3
50	r	1181903	4	4
